Product category (code),Global exports (in millions USD),Rank,Country,Exports (in millions USD)
Baby carriages and parts thereof (8715),2451.0,2.0,Netherlands,198.0
Baby carriages and parts thereof (8715),2451.0,3.0,Germany,184.0
Baby carriages and parts thereof (8715),2451.0,4.0,Poland,112.0
Baby carriages and parts thereof (8715),2451.0,5.0,Italy,57.0
,,,,
"Trailers and semi−trailers; other vehicles, not mechanically propelled (excl. railway and tramway vehicles); parts thereof (8716)",39769.0,1.0,Germany,7372.0
"Trailers and semi−trailers; other vehicles, not mechanically propelled (excl. railway and tramway vehicles); parts thereof (8716)",39769.0,2.0,China,6462.0
"Trailers and semi−trailers; other vehicles, not mechanically propelled (excl. railway and tramway vehicles); parts thereof (8716)",39769.0,3.0,United States,5036.0
"Trailers and semi−trailers; other vehicles, not mechanically propelled (excl. railway and tramway vehicles); parts thereof (8716)",39769.0,4.0,Mexico,4369.0
"Trailers and semi−trailers; other vehicles, not mechanically propelled (excl. railway and tramway vehicles); parts thereof (8716)",39769.0,5.0,Poland,2058.0
,,,,
