Country,Year,Global_Production,ev_production_amount
Portugal,2019,345704.0,0
Portugal,2021,289954.0,0
Portugal,2022,322404.0,0
Portugal,2023,318231.0,0
Portugal,2024,332546.0,0
Romania,2018,476769.0,0
Romania,2019,490412.0,0
Romania,2021,420755.0,0
Romania,2022,509465.0,0
Romania,2023,513050.0,0
Romania,2024,560102.0,0
Romania,2025,545510.0,0
Russia,2018,1767674.0,0
Russia,2019,1719784.0,0
Russia,2021,1566317.0,0
Russia,2022,608060.0,0
Russia,2023,729864.0,0
Russia,2024,982665.0,0
Serbia,2018,56449.0,0
Serbia,2019,35115.0,0
Serbia,2021,21263.0,0
Serbia,2022,4498.0,0
Serbia,2023,186.0,0
Slovakia,2018,1090000.0,0
Slovakia,2019,1107902.0,0
Slovakia,2021,1000000.0,0
Slovakia,2022,1000000.0,0
Slovakia,2023,1080000.0,0
Slovakia,2024,993000.0,0
Slovakia,2025,1070000.0,0
Slovenia,2018,209378.0,0
Slovenia,2019,199102.0,0
Slovenia,2021,95797.0,0
Slovenia,2022,68130.0,0
Slovenia,2023,60881.0,0
Slovenia,2024,60903.0,0
South Africa,2018,610854.0,0
South Africa,2019,631983.0,0
South Africa,2021,499087.0,0
South Africa,2022,555889.0,0
South Africa,2023,633337.0,0
South Africa,2024,599755.0,0
South Korea,2018,4028834.0,0
South Korea,2019,3950617.0,0
South Korea,2021,3462404.0,0
South Korea,2022,3757049.0,0
South Korea,2023,4244000.0,0
South Korea,2024,4127252.0,0
Spain,2018,2819565.0,0
Spain,2019,2822355.0,0
Spain,2021,2098133.0,0
Spain,2022,2219462.0,0
Spain,2023,2451221.0,0
Spain,2024,2376504.0,0
Sweden,2018,279000.0,0
Sweden,2019,249000.0,0
Sweden,2021,257446.0,0
Sweden,2022,238955.0,0
Sweden,2023,276750.0,0
Sweden,2024,268487.0,0
Taiwan,2018,253241.0,0
Taiwan,2019,251304.0,0
Taiwan,2021,265320.0,0
Taiwan,2022,261263.0,0
Taiwan,2023,285962.0,0
Taiwan,2024,275156.0,0
Thailand,2018,2167694.0,0
Thailand,2019,2013710.0,0
Thailand,2021,1685705.0,0
Thailand,2022,1883515.0,0
Thailand,2023,1841663.0,0
Thailand,2024,1468997.0,0
Tunisia,2018,2000.0,0
Turkey,2018,1095526.0,0
Turkey,2019,821060.0,0
Turkey,2021,1276140.0,0
Turkey,2022,1352648.0,0
Turkey,2023,1468393.0,0
Turkey,2024,1365296.0,0
Ukraine,2018,6623.0,0
Ukraine,2019,7266.0,0
Ukraine,2021,8153.0,0
Ukraine,2022,1490.0,0
Ukraine,2023,1993.0,0
United Kingdom,2018,1604328.0,0
United Kingdom,2019,1381405.0,0
United Kingdom,2021,932488.0,0
United Kingdom,2022,876614.0,0
United Kingdom,2023,1025474.0,0
United Kingdom,2024,905233.0,0
United States,2018,11314705.0,0
United States,2019,10880019.0,0
United States,2021,9167214.0,0
United States,2022,10060339.0,0
United States,2023,10611555.0,1100000
United States,2024,10562188.0,1600000
United States,2025,10000000.0,1700000
Uzbekistan,2018,220667.0,0
Uzbekistan,2019,271113.0,0
Uzbekistan,2021,241649.0,0
Uzbekistan,2022,333569.0,0
Uzbekistan,2023,425876.0,0
Uzbekistan,2024,429364.0,0
Venezuela,2018,1774.0,0
Vietnam,2018,237000.0,0
Vietnam,2019,250000.0,0
Vietnam,2021,163250.0,0
Vietnam,2022,232410.0,0
Vietnam,2023,177435.0,0
Vietnam,2024,175661.0,0
World,2018,95000000.0,2100000
World,2019,91000000.0,2300000
World,2020,78000000.0,3200000
World,2021,80000000.0,6700000
World,2022,85000000.0,10500000
World,2023,93000000.0,14000000
World,2024,96000000.0,17300000
World,2025,91700000.0,20000000
Europe,2023,0.0,2400000
Europe,2024,0.0,2400000
Europe,2025,0.0,3880000

