Country,Year,total_vehicles_sold,EV_market_share
Romania,2022,129328.0,21.7
Romania,2023,142476.0,24.4
Romania,2024,151105.0,25.1
Romania,2025,182518.0,31.8
Singapore,2018,80268.0,1.0
Singapore,2019,93897.0,1.0
Singapore,2020,44463.0,1.0
Singapore,2021,45442.0,1.0
Singapore,2022,30939.0,11.7
Singapore,2023,30221.0,18.0
Singapore,2024,51706.0,33.0
Singapore,2025,52677.0,45.0
South Korea,2018,1806609.0,0.0098
South Korea,2019,1770000.0,0.005
South Korea,2020,1874630.0,0.024
South Korea,2021,1840000.0,0.055
South Korea,2022,1689484.0,0.071
South Korea,2023,1743366.0,9.3
South Korea,2024,1622130.0,6.1
South Korea,2025,1675692.0,11.0
Spain,2018,1330000.0,0.9
Spain,2019,1258260.0,1.4
Spain,2020,851325.0,4.8
Spain,2021,859477.0,7.8
Spain,2022,813396.0,9.6
Spain,2023,949359.0,11.9
Spain,2024,1016885.0,12.4
Spain,2025,1148650.0,20.1
Sweden,2018,353647.0,8.2
Sweden,2019,355585.0,11.4
Sweden,2020,291100.0,32.2
Sweden,2021,300000.0,43.3
Sweden,2022,287610.0,56.1
Sweden,2023,289281.0,59.8
Sweden,2024,269500.0,58.4
Sweden,2025,272987.0,63.2
Switzerland,2018,299716.0,3.2
Switzerland,2019,331397.0,5.5
Switzerland,2020,236828.0,14.3
Switzerland,2021,238496.0,22.5
Switzerland,2022,225833.0,25.9
Switzerland,2023,251959.0,30.1
Switzerland,2024,239294.0,28.0
Switzerland,2025,233774.0,20.5
Thailand,2018,1039158.0,0.0199
Thailand,2019,1007552.0,0.0028
Thailand,2020,792146.0,0.0013
Thailand,2021,759119.0,0.0573
Thailand,2022,849388.0,0.03
Thailand,2023,775780.0,12.0
Thailand,2024,572675.0,15.4
Thailand,2025,621166.0,40.2
Turkey,2018,620937.0,0.0
Turkey,2019,489060.0,0.0
Turkey,2020,772788.0,0.001
Turkey,2021,737350.0,0.1
Turkey,2022,783283.0,1.2
Turkey,2023,1283952.0,6.8
Turkey,2024,1285632.0,10.1
Turkey,2025,1410000.0,17.7
United Kingdom,2018,2367147.0,2.53
United Kingdom,2019,2311140.0,2.9
United Kingdom,2020,1631064.0,10.7
