Country,Year,EV_market_share,total_vehicles_sold
Romania,2021,15.5,121181.0
Romania,2022,21.7,129328.0
Romania,2023,24.4,142476.0
Romania,2024,25.1,151105.0
Romania,2025,31.8,182518.0
Singapore,2018,1.0,80268.0
Singapore,2019,1.0,93897.0
Singapore,2020,1.0,44463.0
Singapore,2021,1.0,45442.0
Singapore,2022,11.7,30939.0
Singapore,2023,18.0,30221.0
Singapore,2024,33.0,51706.0
Singapore,2025,45.0,52677.0
South Korea,2018,0.0098,1806609.0
South Korea,2019,0.005,1770000.0
South Korea,2020,0.024,1874630.0
South Korea,2021,0.055,1840000.0
South Korea,2022,0.071,1689484.0
South Korea,2023,9.3,1743366.0
South Korea,2024,6.1,1622130.0
South Korea,2025,11.0,1675692.0
Spain,2018,0.9,1330000.0
Spain,2019,1.4,1258260.0
Spain,2020,4.8,851325.0
Spain,2021,7.8,859477.0
Spain,2022,9.6,813396.0
Spain,2023,11.9,949359.0
Spain,2024,12.4,1016885.0
Spain,2025,20.1,1148650.0
Sweden,2018,8.2,353647.0
Sweden,2019,11.4,355585.0
Sweden,2020,32.2,291100.0
Sweden,2021,43.3,300000.0
Sweden,2022,56.1,287610.0
Sweden,2023,59.8,289281.0
Sweden,2024,58.4,269500.0
Sweden,2025,63.2,272987.0
Switzerland,2018,3.2,299716.0
Switzerland,2019,5.5,331397.0
Switzerland,2020,14.3,236828.0
Switzerland,2021,22.5,238496.0
Switzerland,2022,25.9,225833.0
Switzerland,2023,30.1,251959.0
Switzerland,2024,28.0,239294.0
Switzerland,2025,20.5,233774.0
Thailand,2018,0.0199,1039158.0
Thailand,2019,0.0028,1007552.0
Thailand,2020,0.0013,792146.0
Thailand,2021,0.0573,759119.0
Thailand,2022,0.03,849388.0
Thailand,2023,12.0,775780.0
Thailand,2024,15.4,572675.0
Thailand,2025,40.2,621166.0
Turkey,2018,0.0,620937.0
Turkey,2019,0.0,489060.0
Turkey,2020,0.001,772788.0
Turkey,2021,0.1,737350.0
Turkey,2022,1.2,783283.0
Turkey,2023,6.8,1283952.0
Turkey,2024,10.1,1285632.0
Turkey,2025,17.7,1410000.0
United Kingdom,2018,2.53,2367147.0
United Kingdom,2019,2.9,2311140.0
United Kingdom,2020,10.7,1631064.0
United Kingdom,2021,18.6,1647181.0
United Kingdom,2022,22.9,1614063.0
United Kingdom,2023,23.9,1903054.0
United Kingdom,2024,28.2,1952778.0
United Kingdom,2025,33.9,2020520.0
United States,2018,2.1,17270000.0
United States,2019,1.9,17050000.0
United States,2020,2.2,14580000.0
United States,2021,4.0,15080000.0
United States,2022,6.8,13900000.0
United States,2023,9.4,15610000.0
United States,2024,9.9,15790000.0
United States,2025,13.5,16300000.0
Uruguay,2018,0.0,43809.0
Uruguay,2019,0.4,40594.0
Uruguay,2020,0.3,34540.0
Uruguay,2021,1.1,49265.0
Uruguay,2022,1.9,52829.0
Uruguay,2023,3.1,58367.0
Uruguay,2024,8.9,63311.0
Uruguay,2025,20.2,71442.0
Uzbekistan,2018,0.0,139902.0
Uzbekistan,2019,0.0002,190164.0
Uzbekistan,2020,0.00075,173756.0
Uzbekistan,2021,0.0039,208149.0
Uzbekistan,2022,0.0078,286000.0
Uzbekistan,2023,0.039,456300.0
Uzbekistan,2024,0.087,402391.0
Uzbekistan,2025,0.18,427097.0
Vietnam,2018,0.0,288683.0
Vietnam,2019,0.00047,399890.0
Vietnam,2020,0.1,401134.0
Vietnam,2021,0.3,410390.0
Vietnam,2022,1.0,509141.0
Vietnam,2023,5.6,404294.0
Vietnam,2024,28.0,500000.0
Vietnam,2025,42.0,604064.0
